Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
 Public Relations Manager - Bangalore,6 - 11 yrs, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager
 Female Fresher's Counsellor- Gurgaon,0 - 1 yrs, counselling| couselling| fresher| student counsellor| student counseling,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher
 BE Chemical - Fresher,0 - 2 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher
 Senior .Net Developer For Leading IT Company in Gurgaon,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring a Valuation Associate (female Only),0 - 4 yrs, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Analytics & Business Intelligence,"Real Estate, Property",Other
 Merchandising & Marketing- Professor,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
 Medical Transcriber,3 - 5 yrs, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
 PHP Developer,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Business Development Manager,1 - 2 yrs, Sales| Management| Sales management| Educational sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
 Looking for a Job Change With a good package,1 - 5 yrs, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Huge Requirement for Customer Care Executive with Fixed Salary,0 - 2 yrs, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
Assistant Manager – BI&I (data Automation), 5 - 7 Years,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT/Networking-Manager
 Field Sales Executive,0 - 2 yrs, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
 Sr. Manager Sales Capability Building,10 - 15 yrs, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer
 Service Ops Expert - Servc Del | Microland,2 - 5 yrs, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),4 - 9 yrs, planning| training| training manager| trainer| faculty,Teachers,"Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer
 Sales Manager,3 - 6 yrs, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Field Support Team-Supervisor,4 - 5 yrs, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Other,Technical Support Engineer
 Sr. C# Developer,1 - 6 yrs, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr Structural Engineer,5 - 10 yrs, Senior Design Engineer| Engineering Design| SACS,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer
 IT Security Head ,4 - 8 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO
 Technical Support Executive,2 - 5 yrs, Technical Support Executive| Electrical engineering,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical)
 Analyst - Business Intelligence,1 - 3 yrs, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
Nokia WING Circuit Core - SMSC Engineer, 5 - 10 Years,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer
 Assistant Restaurant Manager / Restaurant Manager,5 - 7 yrs, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager
 Digital / Web Artist,0 - 3 yrs, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer
 Business Development Manager,2 - 7 yrs, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales
 Web/ GUI Designer,3 - 5 yrs, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
" Web Designer - Html, CSS, Bootstrap, Photoshop",1 - 3 yrs, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer
 Python Developer,1 - 3 yrs, Python,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Web Designer,4 - 5 yrs, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer
 AVP- FX MO,8 - 10 yrs, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,4 - 9 yrs, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Senior Management,"Sales , Retail , Business Development",Insurance,Head/VP/GM/National Manager -Sales
 Head - Project Management,15 - 20 yrs, Project Management,Senior Management,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations
 Walk- In For Development QA/ Regulatory Affairs,4 - 8 yrs, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),10 - 14 yrs, accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager
 Team Leader- Head Digital Prtnrshp & BD,8 - 12 yrs, Data analysis| Consumer research| Management| Head Business Development,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 DWH Tester - Manual Testing,4 - 6 yrs, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Quality Assurance Engineer,3 - 5 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive
 Technical / Functional Skills,4 - 9 yrs, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Software Development / Software Engineer,2 - 4 yrs, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Inbound Phone Banking Voice Process - Leading Bank - Noida,0 - 2 yrs, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical)
Java Enterprise Edition, 2 - 4 Years,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Associate Clinical Data Processor,0 - 1 yrs, MS Office| Data entry,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
 CRM,1 - 2 yrs, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Magento Developer,2 - 7 yrs, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer
 Merchandiser,2 - 7 yrs, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories",Merchandiser
 SIEM Analyst,2 - 5 yrs,vide,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","Recruitment, Staffing",System Security
 Hiring ll Azure Devops and Management Lead ll Hyderabad,6 - 11 yrs, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Senior Faculty - Information Design,15 - 20 yrs,vide,,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
 computer operator,1 - 3 yrs, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,,"Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator
 Operation Executive,2 - 3 yrs, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration
 Customer Support Executive,0 - 1 yrs, Customer Support Executive| Customer service| Business Executive| process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Corporate-Day Care Manager.,2 - 4 yrs, Staff Training| Day Care| Recruitment,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant
 Hiring going on for .US Inbound Tech Support/ Sales,1 - 6 yrs, process| Spot| Technical support| Night shift| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
Deputy Manager- Performance/digital Marketing, 4 - 9 Years,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager
" Technical Lead -(VoIP,Cisco Call Manager)",2 - 7 yrs, java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead
 Relationship Manager,3 - 8 yrs, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager
" Technician, Technical Support",0 - 4 yrs, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
 Graphic Designer,2 - 4 yrs, Illustrator| Corel Draw| Photoshop,Creative,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer
 Consultant,2 - 5 yrs, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
 Immediate Requirement for Fusion Technical Lead Developer,10 - 16 yrs, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 Layout Designer / Web Designer,1 - 5 yrs, Layout design| Corel Draw| Web designing| Photoshop,Programming & Design,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,0 - 4 yrs, Bpo Voice| Voice Process| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Asp.net with Angular JS & Html5 - Hyderabad,5 - 7 yrs, HTML5| ASP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Manager Product and Portfolio,5 - 10 yrs, Product training| Sales| Relationship| Banking| Recruitment,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 Key Accounts Manager,6 - 11 yrs, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager
 Store Head-leading Manufacturing Company,10 - 15 yrs, Stores| warehouse| Logistics,Logistics,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,2 - 6 yrs, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Java Software Engineer,1 - 5 yrs, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
 Admin Executive,2 - 5 yrs, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,Administration/Facility Management,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,12 - 17 yrs, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit
 Accounts Manager (male),7 - 12 yrs, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
 Opening for French Specialist Accounts Payable,1 - 4 yrs, accounts payable| accounting| AP,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Applications Analyst OEE,3 - 5 yrs, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
 Customer Service Engineer - - ICD Security Solutions,2 - 7 yrs, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager
 Urgently Required Senior PHP Developer(laravel) || Gurgaon ,2 - 5 yrs, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Associate Process Consultant,7 - 12 yrs, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Management,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software
 Infrastructure management- Lecturer,5 - 7 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
 Finance Admin,4 - 6 yrs, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst
 Guest Relations Executive,6 - 7 yrs, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Senior Management,"Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales
 Salesforce System Architect,8 - 12 yrs, salesforce| salesforce.com| system design| application architecture,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
System Monitoring Tools & Techniques Professional, 13 - 15 Years,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Management,"IT Software - ERP , CRM",IT-Software / Software Services,Project Manager-IT/Software
 HR Recruiter,0 - 2 yrs, Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Other,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
 Business Development Manager (eCommerce),1 - 3 yrs, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Java Developer - Spring/ Hibernate,5 - 10 yrs, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Python Developer,0 - 1 yrs, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales And Marketing/Business Development manager,2 - 7 yrs, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Microsoft Developer,2 - 7 yrs, build automation| Entity framework| MVC| microsoft| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales,2 - 7 yrs, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Inbound Technical Support With Attractive Salary Package,0 - 5 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Placement Officer,",0 - 5 yrs, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Other,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant
 Walk-in Interviews For Sr.executive - Procurement on 5th July,2 - 5 yrs, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore, 2 - 5 Years,Test Engineering,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Senior TSA Inbound Tech Process,0 - 2 yrs, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Freelance Corporate Trainer on Taleo,5 - 10 yrs, Corporate Training| corporate trainer| technical trainer,Teachers,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer
 Senior Java Developer- Urgently Required by Mumbai IT Company,3 - 5 yrs, java| mongodb| Hibernate| spring| jms,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager Procurement,4 - 5 yrs, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager
 Senior Software Engineer - UI Development - Javascript/angularjs,5 - 10 yrs, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Telle Caller,0 - 2 yrs, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Telecalling/Telemarketing Executive
 Documentation Executive,8 - 10 yrs, e - tendering| Tender Preparation| bid preparation| proposal preparation,,Other,"Architecture, Interior Design",Other
 Restaurant Cashier,2 - 4 yrs, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier
" Opening For Dot Net Developer @ Baner, Pune",0 - 0 yrs, C#| .Net| Asp.net,Other,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher
 Management Trainee,0 - 2 yrs, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Other,"Sales , Retail , Business Development",Insurance,Trainee
 Junior Company Secretary,3 - 8 yrs, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Programming & Design,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",Testing Engineer
 Production Manager,1 - 5 yrs, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),0 - 1 yrs, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Business Transformation Consultant,3 - 8 yrs, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management,,Other,"Strategy, Management Consulting Firms",Other
 Content Editor,3 - 6 yrs, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Graphics Hardware Engineer,5 - 7 yrs, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Visual Designer,1 - 3 yrs, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser
 Web Designer,3 - 8 yrs, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
 ACCOUNTS EXECUTIVES,3 - 8 yrs, Tally| Retail| Accounts Executive| Retail Executive,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant
 Finance & Accounting Associates,2 - 5 yrs, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager
 DEALER - RETAIL BROKING,1 - 5 yrs, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling,Institutional Sales,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer
 SENIOR SOFTWARE DEVELOPER (MVC .NET),5 - 7 yrs, MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Client Relationship Partner,2 - 7 yrs, MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",2 - 7 yrs, sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Institutional Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Dot Net Developer,2 - 7 yrs, soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Lead Business Systems Analyst,7 - 8 yrs, Analyst,,Other,"Banking, Financial Services, Broking",Other
 Sr. Manager- Art in Mumbai || Opportunity @ Client side,7 - 12 yrs, Art Director,Senior Management,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director
 Hiring for Domestic/ International Processes.contact the HR Asap,0 - 3 yrs, fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sr . Manager,7 - 10 yrs, Automobile| Warehouse| Problem management| Manager Operations,,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations
 Manager Learning & Development,10 - 15 yrs,vide,Senior Management,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development
 Urgent Requirement for CCE Telesales for Night Shift.,1 - 6 yrs, Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Vancancy for Inbound Tech Sales Executive,0 - 3 yrs, Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
